elementid,node1,node2,node3,node4
1,1416,1417,1279,379
2,1416,1418,1419,1417
3,1416,1417,1033,1420
4,1421,1326,1349,115
5,1421,1349,1422,575
6,1421,1423,1424,1425
7,1421,1426,574,1424
8,1421,1426,1424,1423
9,1421,1424,575,1425
10,1427,1428,1429,590
11,1427,1430,590,1429
12,590,1266,1375,1427
13,1431,1432,1433,1434
14,970,1435,334,1436
15,62,75,1437,3
16,1438,1439,1440,1441
17,1439,334,335,1438
18,1442,1439,334,335
19,1438,1440,1435,1441
20,1443,1444,562,1282
21,1445,942,1306,1443
22,946,1445,942,1306
23,1443,1282,1446,1307
24,1443,1444,1306,1445
25,1345,1313,1447,1448
26,1416,1313,380,1279
27,1449,1313,381,380
28,1449,1450,1451,1420
29,1449,1036,1450,1420
30,1449,1420,1037,1036
31,1416,1449,380,1313
32,1452,519,1453,1454
33,519,1455,1452,1456
34,1455,1452,725,1457
35,1455,1452,662,725
36,1455,662,1456,663
37,1458,1459,393,493
38,1460,1461,1462,1463
39,1458,1460,294,1463
40,45,1460,37,1458
41,1458,1460,20,294
42,1458,37,20,1460
43,1439,1464,1465,1466
44,1466,1467,778,777
45,1466,1464,1244,1231
46,1436,1466,777,1467
47,1466,1465,1436,1177
48,1468,1469,1470,1471
49,1466,1244,1465,1177
50,1472,341,1473,1300
51,1472,1473,985,1474
52,1472,1475,1476,1477
53,1472,1475,1478,1341
54,1472,1329,1475,1341
55,1472,28,1300,1341
56,1472,1475,1329,1476
57,1461,1479,493,45
58,1480,726,1481,789
59,1480,1457,788,1482
60,1480,1483,1484,1485
61,1480,1482,1484,1483
62,1480,1485,1484,1486
63,1480,1484,1160,1486
64,1258,1487,1488,1489
65,1487,477,1490,1257
66,1487,1488,1491,1492
67,1487,1490,1489,1257
68,1248,192,760,761
69,1487,1492,1262,1488
70,1493,1114,1494,1495
71,1495,1114,1494,1364
72,1496,1497,593,1498
73,1496,594,1498,593
74,1496,1356,134,594
75,1114,1496,1495,1493
76,1496,1114,1497,1498
77,1496,1495,1269,1364
78,1499,1500,1501,1029
79,1500,1502,1503,1501
80,1504,1410,1411,1415
81,1500,556,1499,1501
82,1500,556,1501,555
83,1500,1355,95,1280
84,1505,1506,1507,1508
85,1505,1507,1372,1330
86,1505,1430,1509,1506
87,1430,129,128,1295
88,1430,129,588,128
89,1430,1510,1509,1511
90,1505,1507,1506,1509
91,1505,1430,1506,588
92,1430,1511,1509,1506
93,1427,1510,1265,1509
94,1430,1375,589,129
95,1427,1509,1265,1375
96,1430,590,1429,589
97,1427,590,1430,1375
98,1512,1426,1513,1514
99,1512,1513,1303,1371
100,1512,573,1426,1514
101,1512,1325,1303,113
102,1512,1515,1516,1517
103,522,1518,1434,1519
104,1520,1479,38,0
105,1434,1367,1432,1339
106,1367,1334,1274,1434
107,1431,602,1433,1432
108,1434,1456,1432,1521
109,1479,414,50,1520
110,1434,1334,1274,1431
111,1434,1518,1273,1522
112,1434,1522,1273,1339
113,1523,1495,595,1524
114,1523,135,1495,1332
115,1523,1494,1342,1332
116,1523,1525,597,1526
117,1523,1525,596,597
118,1523,137,596,136
119,1510,1103,1527,1528
120,1510,1529,433,1511
121,1530,1093,1092,1088
122,1510,1529,1429,1527
123,1510,433,1529,1103
124,1430,1510,1511,1429
125,1479,1531,414,1462
126,1532,1533,1534,1535
127,1536,1537,1538,606
128,1539,1540,1541,257
129,1536,144,1535,1335
130,1536,1537,606,1361
131,1536,1275,1537,1361
132,1536,1335,1533,1275
133,1536,1361,145,1335
134,1542,1233,212,1155
135,1542,1543,1544,1545
136,1542,1188,1543,1546
137,1543,740,1547,1542
138,494,45,0,67
139,1548,756,1549,1550
140,1550,1551,757,756
141,1550,1232,196,756
142,1550,1548,1238,1552
143,1550,1551,861,1553
144,1550,1548,196,1147
145,1550,1238,1548,1147
146,1172,1554,1248,1555
147,1554,1248,1555,1556
148,1556,760,1555,761
149,1556,1555,760,1248
150,1556,1557,1558,1554
151,1556,1559,1555,1554
152,1556,1558,1559,1554
153,1560,780,1561,781
154,1560,1562,1178,1166
155,1560,1562,172,1178
156,1560,1563,782,1564
157,1560,781,1564,782
158,1560,1178,171,1228
159,1565,168,1566,784
160,1565,1567,1568,1569
161,1565,1246,1570,1571
162,1565,1567,1566,1568
163,1565,1569,1570,785
164,1572,1573,1211,1187
165,1572,1573,1187,1574
166,1572,1575,745,1576
167,1572,1574,1577,1573
168,1026,1572,1187,1574
169,1572,1574,1026,1578
170,202,1579,1212,1580
171,1579,1580,202,750
172,1579,1581,1580,750
173,1579,748,1582,749
174,1579,1583,1581,1582
175,1579,1212,1235,203
176,1584,982,1585,1586
177,1584,1586,1587,1588
178,1584,1589,1224,1587
179,1563,1117,1113,1241
180,1571,1566,1163,1590
181,1566,1163,1590,1591
182,1591,1566,1163,1226
183,1591,1566,783,1592
184,1591,1592,1593,1590
185,1591,782,1164,1563
186,1570,1594,1247,1595
187,1594,1570,1246,1596
188,1597,1598,1599,1600
189,1597,1601,675,738
190,1597,1599,1602,1600
191,1597,1601,1599,1598
192,1597,675,1601,1603
193,1602,1603,613,1597
194,1479,353,38,31
195,1604,1605,1606,1607
196,1604,1547,1038,1543
197,1604,1608,1605,1609
198,1604,1608,1547,1605
199,1034,1608,1240,1604
200,1502,1500,1350,1029
201,1502,1350,1033,1029
202,1610,1419,1418,1417
203,1500,555,1503,554
204,1350,1610,1503,1417
205,1610,1280,94,1320
206,1610,1417,1350,1320
207,1611,1612,1613,1614
208,642,705,643,1615
209,1611,1616,705,768
210,1613,1617,1616,1611
211,1611,1617,1616,768
212,1618,706,1611,1615
213,1611,1619,1614,1618
214,1620,1621,1614,1622
215,0,1479,38,31
216,1203,770,1175,1622
217,182,1203,770,1175
218,1622,1184,1620,1621
219,1622,1613,1612,1614
220,1622,1613,1215,1623
221,1622,1613,769,1175
222,1624,1299,339,977
223,1624,1625,1626,1627
224,125,1624,1628,1348
225,1624,1348,125,1362
226,1624,1629,1625,1627
227,1624,1628,1348,1299
228,1319,6,90,612
229,893,1630,889,888
230,1624,1629,1293,1362
231,1584,1140,347,346
232,1584,1140,1588,1587
233,1584,1224,1589,1139
234,1589,1631,774,773
235,1589,179,1237,1224
236,1584,1587,1224,1140
237,1584,1589,1631,1632
238,1589,1631,1632,774
239,1633,1435,1634,1441
240,1633,1635,975,1636
241,1633,1435,1441,971
242,1633,1635,971,975
243,1575,1153,1578,1572
244,1575,1209,1637,1153
245,1575,1234,207,1209
246,1575,1576,1638,745
247,1572,1578,1575,1576
248,1572,1576,745,744
249,1370,1431,1639,526
250,1583,1640,1582,1468
251,1583,1582,1641,1468
252,1583,1580,1151,1212
253,1583,1151,317,1152
254,1579,1583,1212,1580
255,1579,1152,1583,1641
256,1642,1365,322,1307
257,1643,1642,938,1443
258,1446,1644,1645,1642
259,1646,1647,278,307
260,1642,1648,1649,934
261,1645,560,622,559
262,1220,160,161,792
263,1650,1470,1651,1652
264,1650,1649,1653,934
265,1650,1470,1652,1471
266,1650,1645,1653,1649
267,1650,1649,1471,1645
268,1654,1655,1656,1657
269,1654,1658,1659,1660
270,1659,1654,1661,1658
271,1654,1662,304,1663
272,1655,1654,1659,948
273,1654,1663,305,1655
274,1664,829,1665,825
275,1654,1666,1660,947
276,1642,1446,1644,1281
277,1443,1446,561,1667
278,1446,1338,1644,1281
279,1668,1470,1641,1669
280,1446,1644,1338,560
281,1645,1642,1643,1446
282,1645,1446,560,1644
283,1670,1671,1672,1673
284,1670,1671,1673,1674
285,1670,1422,826,1675
286,1676,35,1546,385
287,1670,1425,1677,1674
288,869,1678,865,868
289,1679,1678,1553,1680
290,1681,1682,1679,1683
291,1504,1059,1684,1058
292,1681,1685,1682,1683
293,1686,376,1687,313
294,1681,1678,1682,1688
295,865,1678,1553,1679
296,1681,1682,1680,1679
297,1689,1690,1691,1692
298,1689,1685,1690,1692
299,1689,1693,1694,866
300,1689,1693,866,867
301,1689,1688,1691,1693
302,1689,862,1690,863
303,1695,1692,1691,1690
304,1695,1354,108,1286
305,1695,1351,1696,1286
306,1695,1696,1351,567
307,1695,1286,108,107
308,567,1697,1692,1695
309,1697,1696,1695,567
310,1695,1696,1698,1286
311,1696,1285,1698,1286
312,1544,1699,676,739
313,307,1646,277,278
314,1695,1286,107,1351
315,1700,1696,1695,1697
316,1696,567,1697,566
317,1458,1461,1531,493
318,1531,1479,414,50
319,1459,493,1531,50
320,1701,1699,1702,1703
321,1462,1461,1479,1531
322,1479,45,0,50
323,1463,1461,1531,1458
324,8,1461,1462,1460
325,1622,29,1184,345
326,1704,1705,1259,1258
327,1622,769,1614,770
328,1613,1617,1204,1174
329,1611,1613,1706,1616
330,1613,1175,1204,183
331,1613,769,1175,183
332,1707,1264,1708,1260
333,1183,1708,1709,1157
334,1710,1707,1190,1711
335,1708,1707,1183,1710
336,1183,1707,1190,1710
337,1557,1712,1713,1714
338,1557,1245,1712,1554
339,1556,191,1248,761
340,1556,1558,762,761
341,1557,1144,190,1205
342,1557,1712,1558,1554
343,1557,1205,1712,1245
344,1662,303,1715,1716
345,1717,1662,255,1718
346,1654,304,1662,1666
347,255,1718,1700,1717
348,255,1662,1717,1663
349,1662,1663,1715,304
350,576,1363,1349,1719
351,1188,386,1240,1038
352,1719,577,1677,576
353,1719,1677,1422,576
354,1475,582,1477,581
355,1472,1476,1329,1300
356,1475,581,1720,580
357,122,1475,1329,121
358,1721,1059,1722,1060
359,1475,1301,1329,121
360,1723,473,474,1262
361,1426,1423,822,232
362,1724,929,928,924
363,1421,575,1424,574
364,1426,114,1303,1326
365,1289,1426,12,1303
366,1421,1326,115,114
367,1326,1421,1426,114
368,1302,1326,1421,1426
369,1422,1426,822,1302
370,1725,350,1726,1727
371,417,1725,1728,1729
372,1730,1725,1727,36
373,49,490,1730,1725
374,1731,1732,1225,794
375,1725,1727,30,350
376,36,1725,1727,30
377,739,1542,1544,1699
378,1545,1701,1699,1542
379,1701,1546,1214,1168
380,1233,1701,1168,1546
381,1542,1547,1188,1155
382,1701,1168,1194,7
383,1701,213,1168,7
384,1701,1542,1233,213
385,1733,1734,506,507
386,62,1735,1437,529
387,1736,75,1239,1181
388,529,75,1737,1736
389,1738,155,1709,1195
390,1738,1195,1158,156
391,1480,1160,1484,1482
392,1480,1485,1481,1457
393,1480,1483,1457,1482
394,1480,1486,1481,1485
395,1486,1484,1180,1485
396,1484,1739,72,517
397,1484,1739,517,1483
398,1246,1594,1247,1570
399,1565,1570,1568,1571
400,1565,1570,1246,1198
401,1594,1570,1740,1595
402,1570,1596,1569,1568
403,1604,1543,1038,1039
404,1570,1198,786,1595
405,1570,1596,1740,1569
406,1570,1569,786,785
407,776,1201,1177,1436
408,1436,1741,776,775
409,1734,511,510,506
410,1176,1436,775,1742
411,1435,334,1436,1438
412,1436,1741,775,1742
413,1632,1436,1176,1742
414,1436,970,1742,1632
415,1436,1742,1435,1741
