nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
1,1,0.013043,0.031489,0.000000,240800.949609,-1140450.375000,-38112.306250,112210.438574,-1510.609259,-100365.203516,785813.062500
2,1,0.013043,0.031489,0.105093,132841.852958,-1053594.810268,-75769.601004,48239.160732,-15845.083235,73511.084821,767983.312500
3,1,0.100016,0.118461,0.105093,-345674.647727,-576722.894886,-96084.794922,123852.584162,5900.621271,-14374.197710,1136829.500000
4,1,0.100016,0.118461,0.000000,-489199.830078,-830402.235352,-176307.506226,170835.701660,14209.420654,-43392.103271,852153.687500
5,1,0.013043,0.154487,0.105093,-120186.726283,-1551873.303571,-21706.396763,-144707.241629,-42986.937500,-88737.262277,1906487.625000
6,1,0.013043,0.154487,0.000000,-85157.843040,-1348453.926136,-66595.492720,-202591.114347,73769.514560,131512.590021,1986527.125000
7,1,0.201138,0.000000,0.105093,51875.576497,-422463.156250,-24592.178650,22898.988363,6001.366740,-9571.050049,460490.218750
8,1,0.201138,-0.000000,0.000000,59453.252726,-418971.869792,-25876.992391,-22484.073568,-6351.235067,-8542.691895,459023.187500
9,1,-0.031489,-0.013043,0.000000,305806.167411,-577264.970424,24535.563058,-23608.609631,-49018.539314,596.543043,913453.187500
10,1,-0.031489,-0.013043,0.105093,299417.585880,-585155.753447,2267.654835,-22908.913028,25077.427648,-8488.718535,1006196.625000
11,1,-0.154487,-0.013043,0.105093,548421.952393,-198700.949341,25749.658508,59092.098389,-55687.503784,-42496.404251,885261.375000
12,1,-0.154487,-0.013043,0.000000,440774.014974,-272851.369385,58912.914307,103968.001546,58925.892965,27931.063883,842557.250000
13,1,-0.118461,-0.100016,0.105093,-35286.510550,-243326.417690,-646.463414,309533.854911,3200.025530,3898.606585,403076.593750
14,1,-0.118461,-0.100016,0.000000,-51133.964410,-172121.623264,3132.913520,317080.164931,-5379.809462,1834.769531,1187011.375000
15,1,-0.013043,-0.154487,0.105093,-61475.520020,-1103734.008681,-70086.571072,-173598.041694,51470.158203,50006.672418,1079992.625000
16,1,-0.013043,-0.154487,0.000000,-59834.553936,-1172978.468750,-80444.849234,-119996.726389,-60835.510930,-74644.748037,864007.437500
17,1,-0.100016,-0.118461,0.000000,-405097.854492,-881721.468750,-178890.355835,33144.708008,6180.865784,42310.701660,1021909.812500
18,1,-0.100016,-0.118461,0.105093,-321075.146484,-806060.473307,-152867.854940,-33902.713786,-1947.698771,-13072.686076,403076.593750
19,1,-0.013043,-0.031489,0.105093,165707.105913,-1112272.253196,-35842.977450,67316.896618,-4488.419700,-73053.041193,668273.562500
20,1,-0.013043,-0.031489,0.000000,254531.022656,-1010982.578516,-45210.523584,64105.049219,17973.824414,70844.426416,1795282.875000
21,1,0.013043,-0.031489,0.000000,237850.701693,-955141.169922,-49893.112012,-61864.316357,39254.883203,48844.395469,677937.375000
22,1,0.013043,-0.031489,0.105093,93885.258333,-889219.479948,-62567.795060,30385.831445,-5957.381283,-61195.768490,427819.375000
23,1,0.013043,-0.154487,0.105093,-62289.914442,-1120278.739583,-79019.962023,181831.952664,-57595.612901,50366.120117,1147188.875000
24,1,0.013043,-0.154487,0.000000,-19466.359902,-961508.402778,-109683.227539,245694.505642,55013.689616,-77485.692735,904808.875000
25,1,0.100016,-0.118461,0.105093,-379128.861861,-679682.656250,-87278.321067,-44091.629972,-7568.183683,37.016912,781124.250000
26,1,0.100016,-0.118461,0.000000,-395568.414062,-770102.825439,-191842.011597,-22406.882324,14523.299948,58105.119141,1040433.687500
27,1,-0.118461,0.100016,0.000000,17126.705295,-168122.122504,44048.249132,-422606.795139,-25659.330295,54692.632595,1025424.187500
28,1,-0.118461,0.100016,0.105093,-31398.269832,-189526.661659,22646.970252,-412081.588942,-27213.502103,1876.565279,1250545.875000
29,1,-0.154487,0.013043,0.105093,445521.959595,-298364.432251,43677.569824,-114560.708130,-50074.980652,40301.664149,815473.437500
30,1,-0.154487,0.013043,0.000000,364102.565104,-377814.888672,8024.933594,-151345.180664,43548.037720,-55163.886556,581959.937500
31,1,-0.031489,0.013043,0.105093,376219.596217,-487914.853721,48886.788086,-57935.736547,34472.574707,5631.067190,639408.375000
32,1,-0.031489,0.013043,0.000000,238244.079102,-730857.352539,-35198.136108,26864.578491,-40439.926292,-5141.922348,762833.187500
33,1,0.118461,-0.100016,0.000000,-34045.791775,-104343.609945,41454.471354,-263771.085069,15485.755208,38831.998047,998343.312500
34,1,0.118461,-0.100016,0.105093,3024.999414,-186516.245312,68612.915625,-437004.131250,-4355.964063,7162.353809,1073666.125000
35,1,0.154487,-0.013043,0.105093,425699.808594,-231598.815918,49418.993652,-83442.354263,58674.847290,-42905.399109,746774.125000
36,1,0.154487,-0.013043,0.000000,386178.060547,-246296.193066,45959.082520,-94025.579004,-63958.561426,50092.411316,621303.375000
37,1,0.031489,-0.013043,0.105093,297834.873047,-719963.115234,623.734627,31401.901566,-1458.376648,-21525.308578,1048057.875000
38,1,0.031489,-0.013043,0.000000,274783.645433,-656721.676532,-8947.825684,23108.799861,51040.379507,4134.214801,1063035.375000
39,1,-0.013043,0.031489,0.000000,218493.720703,-848279.751116,21914.857840,-130318.523926,-40985.079171,-45787.631138,851533.312500
40,1,-0.013043,0.031489,0.105093,281761.329102,-1130754.617188,-70998.204712,-90344.942383,-2064.820282,96696.666260,949221.375000
41,1,-0.013043,0.154487,0.105093,-143080.140492,-1517325.579545,-81172.562855,135840.222301,32873.613958,-70965.640914,1943479.750000
42,1,-0.013043,0.154487,0.000000,-134155.084517,-1351634.477273,-113205.454601,176980.483165,-57389.889915,103683.051935,1391062.125000
43,1,-0.100016,0.118461,0.105093,-403855.251302,-777304.362305,-161687.533325,-112965.205404,-27114.153483,1722.666219,737785.562500
44,1,-0.100016,0.118461,0.000000,-323831.199574,-633438.125710,-68629.408736,-157995.498402,846.986439,5992.902166,1025424.187500
