elementid,node1,node2,node3,node4
1,2233,2234,1878,1879
2,2233,1778,11,1897
3,2233,2235,259,2236
4,2233,2234,2237,2235
5,2233,2237,1879,1800
6,2233,1800,1897,11
7,1643,1831,477,37
8,2238,2239,2240,2241
9,2238,2242,2243,2239
10,475,2244,2241,2238
11,2238,2245,603,2246
12,2238,2244,2241,603
13,2247,2248,2249,605
14,2250,2251,2252,2253
15,744,2251,1999,2250
16,2250,137,2254,2100
17,2250,2255,2251,2100
18,2256,2257,476,2258
19,2256,2259,477,2257
20,2256,2260,2240,2241
21,2256,2258,2239,347
22,2256,477,2260,476
23,2256,2260,2241,476
24,2261,2262,2263,1626
25,2261,1632,2262,1626
26,2261,2262,1433,1427
27,2261,2262,1632,2264
28,2261,1433,2262,2264
29,2265,2266,2267,2268
30,2267,2268,2269,1132
31,2265,1868,2267,1765
32,2265,2267,1868,1132
33,2265,1765,173,172
34,2242,2270,348,349
35,2242,2271,2243,2270
36,2242,2272,2271,349
37,2242,2272,349,2273
38,2233,2234,2235,2274
39,2234,1878,207,1097
40,2234,1026,2235,2274
41,2234,1879,2237,1749
42,742,2275,741,812
43,2234,1879,208,207
44,2276,174,2277,1869
45,2278,2279,2280,2281
46,2282,2283,2284,2276
47,2276,2277,1130,2283
48,2276,2285,2286,1129
49,2287,229,1906,230
50,2287,229,1886,1906
51,1927,230,2288,2287
52,2287,2289,1886,1075
53,2287,1761,2288,1927
54,1886,2287,1795,2290
55,2287,2290,1761,1795
56,2291,178,179,1126
57,2292,2293,2294,2295
58,2292,2296,890,2297
59,2292,2297,2298,2296
60,2292,2295,2294,891
61,2292,2297,890,961
62,2295,2292,2296,890
63,2233,2237,2234,1879
64,2234,2237,2235,2299
65,2235,2299,1025,2234
66,2235,259,2236,258
67,2300,2299,1025,2235
68,2235,2236,2301,258
69,2235,2300,2299,2302
70,2303,507,2304,2305
71,2303,2304,2306,55
72,2303,2307,506,2308
73,2303,2304,55,2305
74,2303,2307,2308,54
75,2309,2310,2238,2243
76,2309,2271,2243,2311
77,2309,2306,2312,2311
78,2309,2313,2314,2315
79,2314,2316,2306,2309
80,2307,2314,2316,2306
81,2309,602,2245,2316
82,2238,2316,2309,2245
83,2309,2311,602,2306
84,1022,2317,2318,2319
85,2320,1865,44,1902
86,2321,1124,1053,1054
87,2319,2322,1022,2317
88,2319,2323,1023,2324
89,1023,2319,1093,2323
90,2325,2326,2327,2328
91,2325,943,2329,2326
92,2325,2329,943,872
93,2325,2329,872,2330
94,2325,942,2331,871
95,2332,2333,888,889
96,2332,2334,818,2335
97,2332,2334,2296,818
98,2336,2226,2051,2232
99,2337,2338,2163,2162
100,889,2297,2296,2332
101,2339,2340,2290,2287
102,2341,2289,1003,2342
103,2289,2341,2287,2340
104,2342,2289,2340,2341
105,2343,1058,1129,1128
106,2339,2341,2344,2340
107,2344,2340,2345,2339
108,2346,2347,2348,2349
109,2350,1932,1806,1768
110,2351,2349,832,2348
111,2349,2352,903,2353
112,2354,2349,2352,2347
113,2349,2355,2354,2353
114,2349,2356,761,2348
115,2349,2348,761,832
116,2349,833,2357,2353
117,2349,2357,833,832
118,1089,2358,2359,1090
119,2358,2360,2361,2362
120,2358,2363,2359,1090
121,2358,2364,2363,1019
122,2365,2366,2367,2368
123,2365,2369,2370,2368
124,2365,2371,361,2372
125,2365,2371,2366,2373
126,2310,2374,2375,2376
127,2315,2310,2374,2375
128,2376,2377,2378,2240
129,2376,2374,2379,2380
130,2376,2379,2374,424
131,2376,2240,2380,2379
132,2381,2328,1251,1252
133,2382,2383,2384,2385
134,2381,2386,2387,2383
135,1127,2343,2388,2389
136,2389,1767,177,1870
137,2389,2291,2390,1126
138,2389,2391,1809,2392
139,2389,2291,1126,178
140,2389,1767,178,177
141,2393,2394,2395,2396
142,2393,2397,2394,2398
143,910,2399,909,2400
144,2399,909,2400,2393
145,2393,2398,2401,909
146,2393,2398,2400,2397
147,641,2402,2403,635
148,635,641,2072,2403
149,60,2403,629,635
150,2403,2072,60,2005
151,2178,2404,2403,2172
152,2172,2178,2005,2403
153,2403,2178,2005,629
154,2403,2404,629,635
155,2403,2404,2402,2172
156,2111,2405,2077,2406
157,2407,2408,168,2112
158,2407,2409,2406,2410
159,2407,2406,2411,2410
160,2412,102,1984,103
161,2412,2413,2414,708
162,2412,2415,2153,2089
163,2416,1055,985,1056
164,778,708,2089,2414
165,2412,1984,102,2089
166,2417,2174,2180,2173
167,922,921,2418,2419
168,2420,2421,2422,2423
169,2420,921,2424,991
170,2420,2424,2418,2425
171,2426,2427,2428,2429
172,2426,2430,2427,573
173,2426,2429,2431,2432
174,2426,2433,1942,574
175,2426,2431,2434,2433
176,2426,2433,574,2432
177,2435,2390,2436,2392
178,2435,2437,2291,2320
179,2435,2390,2391,2291
180,2438,1921,201,200
181,2438,2439,2440,2441
182,2438,2442,2439,2443
183,2438,2443,201,1921
184,2444,1926,181,1871
185,2444,2445,2446,2447
186,2444,2446,1807,2447
187,2444,2446,1926,1807
188,2444,2448,2445,2449
189,2444,2448,2449,2450
190,2444,2447,1871,2450
191,2197,2451,1844,2203
192,2451,1844,2203,2452
193,2446,665,1932,671
194,2451,1577,1844,2452
195,2453,1872,186,185
196,2452,2454,1583,1589
197,1589,2452,2209,1780
198,2452,1577,1844,479
199,2452,1780,479,1844
200,2455,2456,1101,2457
201,2455,1748,2458,1877
202,2455,1802,2459,1748
203,2460,2461,2462,2455
204,2463,1938,1805,647
205,2202,2464,2201,2208
206,2208,2464,1578,2054
207,2202,2054,2011,2464
208,2385,2383,2384,2386
209,2464,2465,1573,2201
210,2464,2201,2208,2465
211,2464,2465,1578,1572
212,2466,1929,1796,1754
213,489,2464,1578,1572
214,2464,2011,489,2054
215,2467,2468,1973,1698
216,2469,2468,2470,2471
217,2232,594,2051,2050
218,2469,2467,2471,2472
219,2469,2470,1705,2473
220,2474,2475,1971,2476
221,2474,2475,2476,2477
222,1693,2474,2476,2477
223,2477,2474,1686,1693
224,2474,2475,2477,2478
225,2479,2474,1686,2477
226,2474,2478,2480,2475
227,2481,2480,2474,2479
228,2481,2482,526,2483
229,2481,2479,1686,1680
230,1969,2039,541,1680
231,2039,2481,1680,1969
232,2481,2479,2482,2483
233,2481,2483,526,1969
234,1968,566,2284,2266
235,2266,1928,1968,566
236,631,632,2484,638
237,2266,2485,2277,2486
238,2266,2486,1968,2268
239,2266,1968,1928,2267
240,2260,2487,2488,477
241,2260,477,2259,2489
242,2490,2413,2415,2491
243,2490,2414,2492,2415
244,2421,462,463,2493
245,2490,2493,2413,2491
246,2490,2421,2423,2493
247,2494,2495,1259,303
248,2496,2421,2423,2490
249,2497,2498,2090,2033
250,2499,2090,2138,2057
251,2500,2090,2138,2499
252,2497,1571,2499,2501
253,2502,2498,2500,2503
254,2498,2500,2503,2497
255,2497,2503,2501,2500
256,2504,1547,2505,2032
257,2504,2506,2507,713
258,2508,1929,2494,2387
259,713,1986,2091,2504
260,1935,1064,241,1063
261,2504,2505,2509,1986
262,240,1064,1935,1908
263,2510,830,829,759
264,1986,2505,2032,2504
265,2511,2512,2457,2513
266,2511,2512,1453,2514
267,2511,2513,1458,1459
268,2511,2459,1817,416
269,2515,1904,1937,1752
270,2334,2516,818,747
271,818,2517,2335,2334
272,2518,1792,1935,1850
273,2332,2296,2334,2519
274,2520,1087,2521,1088
275,819,818,2296,2516
276,1088,2520,216,1752
277,2332,2522,2523,2297
278,2456,2443,1909,202
279,2455,2513,2457,2462
280,2513,2455,2456,2459
281,2511,2456,1817,2459
282,2456,2459,1802,1817
283,2511,1817,417,416
284,2262,2263,1626,2007
285,2261,2524,2525,1426
286,2261,2524,1426,1432
287,2262,2264,1433,2046
288,2261,2524,2526,1633
289,2261,2524,1432,2526
290,2527,2528,721,2529
291,2527,2530,2528,2531
292,2532,722,2533,2527
293,2534,2532,722,2533
294,2535,719,718,113
295,2532,2527,2530,2094
296,2530,2094,2028,2532
297,2527,2536,2533,2532
298,2537,1070,2538,1911
299,2537,2539,2540,1068
300,2537,1762,2541,1888
301,1069,1888,1911,2537
302,1937,2515,1882,1798
303,2537,2539,1068,1888
304,2260,477,2488,476
305,2487,37,2489,1925
306,2487,2488,2197,605
307,2197,2487,1577,2488
308,45,2487,2197,605
309,2487,45,2542,605
310,2260,2487,605,2488
311,2487,2542,1925,2489
312,2260,2542,2487,2489
313,2543,51,2544,52
314,2543,2545,52,2544
315,2376,2238,2378,2246
316,2376,2310,2316,2375
317,2375,2543,504,2307
318,2376,2546,2543,2378
319,2238,475,2242,2239
320,2242,2245,474,475
321,2316,2309,2310,2238
322,2238,2243,2310,2239
323,2271,2270,2313,2243
324,2547,2548,1880,1866
325,2245,2243,2242,2311
326,2549,2141,124,123
327,2549,2550,1994,2551
328,2549,2551,2141,123
329,2549,2552,2551,729
330,2553,2554,1228,2555
331,2553,2556,1227,2557
332,2336,2231,2225,2232
333,2558,2231,581,2230
334,2553,1306,2559,2554
335,2553,2554,2555,1312
336,2553,1305,2559,1306
337,2553,2559,1305,2560
338,2561,2562,2563,2564
339,2562,2565,2563,1182
340,2562,279,2087,1997
341,2562,2087,279,1182
342,2566,2562,2132,2143
343,2562,2563,2567,2561
344,1182,2564,2568,2563
345,2562,2561,2087,2564
346,2100,2250,138,1999
347,2251,2569,1999,2064
348,2251,2253,2569,2570
349,2250,2251,2253,744
350,2250,2253,815,744
351,2250,2100,2254,2255
352,2251,2571,1469,409
353,2572,1598,1599,1605
354,1370,1369,361,2372
355,2251,2252,2253,2571
356,2250,2252,2251,2255
357,2573,2574,1142,1148
358,2573,2574,2575,1480
359,2573,1480,2576,2574
360,2573,1148,2577,1147
361,2573,2577,1486,2578
362,2579,1912,2580,2466
363,2284,1863,566,567
364,2466,2508,1929,1754
365,1082,2580,1912,1083
366,2580,1912,1083,2466
367,2466,1912,221,1754
368,2466,1912,1083,221
