nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
1,1,0.015524,0.037478,0.000000,196138.245954,-733934.335100,11401.998396,171240.286551,35081.496565,-5890.710100,1241101.875000
2,1,0.015524,0.037478,0.134537,164478.721802,-820842.433594,-5684.625732,193783.059570,-44631.064941,45627.974121,729413.500000
3,1,0.116180,0.138133,0.134537,-360385.828125,-556435.818750,-121475.187695,90269.327734,-21072.194489,-1998.759326,631087.000000
4,1,0.116180,0.138133,0.000000,-334367.171875,-553363.441406,-113745.717041,102906.538940,24019.995636,-2061.152710,839720.687500
5,1,0.015524,0.179827,0.134537,-176747.839844,-1123428.421875,-52795.993652,-278795.484375,-74340.557373,-117144.510254,1110252.875000
6,1,0.015524,0.179827,0.000000,-60171.545410,-891009.730469,-89215.741211,-329348.177734,91631.134033,126032.401367,867533.687500
7,1,0.226294,0.000000,0.134537,29056.657227,-424337.257812,-14528.226685,5478.406876,7139.375000,-4071.839096,380202.156250
8,1,0.226294,-0.000000,0.000000,46592.013184,-406753.750000,-16873.481608,-6944.198366,-12961.938151,-7304.910154,474498.218750
9,1,-0.037478,-0.015524,0.000000,158523.416992,-399960.089844,-37974.332886,-98197.870361,-30469.645020,30975.608887,463629.968750
10,1,-0.037478,-0.015524,0.134537,93385.269531,-408916.929688,-30190.333171,-142504.464518,47926.187907,-17598.618530,622838.062500
11,1,-0.179827,-0.015524,0.134537,319405.238086,-104631.744641,22938.442188,85810.344727,-43059.521045,-41619.195312,431402.625000
12,1,-0.179827,-0.015524,0.000000,248766.434152,-158189.972098,36496.567104,97181.762556,53241.218750,38176.869420,430958.593750
13,1,-0.138133,-0.116180,0.134537,-13649.477679,-89920.023856,31701.742292,348170.303571,-26017.051270,-23830.092250,598532.187500
14,1,-0.138133,-0.116180,0.000000,94346.030273,10090.428516,53060.521875,357535.928125,31299.681055,2149.842969,247330.500000
15,1,-0.015524,-0.179827,0.134537,-28048.994629,-790334.425223,-14734.416051,-183579.829241,53605.049648,59328.069336,746397.375000
16,1,-0.015524,-0.179827,0.000000,-43818.783105,-793920.646875,-33460.008789,-180512.038281,-54865.362146,-39346.783447,672459.562500
17,1,-0.116180,-0.138133,0.000000,-260622.869420,-457236.372768,-63587.545619,69419.344866,-14389.063224,646.437919,452935.312500
18,1,-0.116180,-0.138133,0.134537,-303846.380208,-521810.688802,-102392.771484,49237.473633,6905.075968,537.329040,482502.125000
19,1,-0.015524,-0.037478,0.134537,169483.088989,-698743.957031,-14535.029297,125673.264893,41804.591309,-39968.791504,841762.062500
20,1,-0.015524,-0.037478,0.000000,173261.212500,-650080.981079,31278.770508,163441.057031,-50634.681543,5861.622278,1161709.000000
21,1,0.015524,-0.037478,0.000000,130731.366130,-691926.299479,-3356.666423,-165228.386719,48843.358226,26790.495097,730081.687500
22,1,0.015524,-0.037478,0.134537,193814.029688,-642816.292969,28548.871777,-115870.567871,-35597.399756,17900.398145,787054.937500
23,1,0.015524,-0.179827,0.134537,-61282.855078,-882258.059375,-41461.672070,180503.163281,-61414.814453,75740.650098,1225534.125000
24,1,0.015524,-0.179827,0.000000,-10558.309961,-681520.567187,-41942.621191,188726.977344,52602.982715,-58498.086670,746825.250000
25,1,0.116180,-0.138133,0.134537,-229830.491211,-502335.410156,-49257.236664,-87238.696045,-16139.166199,6214.996704,439934.281250
26,1,0.116180,-0.138133,0.000000,-274063.530273,-526121.235352,-63696.264465,-9775.100525,15220.636719,33055.335360,350975.062500
27,1,-0.138133,0.116180,0.000000,-23866.132161,-93564.715712,2105.886068,-339861.829861,217.733398,-5222.779324,538443.562500
28,1,-0.138133,0.116180,0.134537,22841.743408,-108185.454346,58438.304932,-355435.205078,-44527.221680,5973.807343,710198.250000
29,1,-0.179827,0.015524,0.134537,255735.739955,-168969.495047,7980.496094,-98201.663714,-36902.810547,26750.999023,333552.375000
30,1,-0.179827,0.015524,0.000000,253495.123242,-155929.689062,19462.870276,-59448.156738,28890.352344,-21834.873743,486937.281250
31,1,-0.037478,0.015524,0.134537,217316.328125,-343526.368490,-11141.833049,47706.292806,44985.034505,14747.093262,697826.000000
32,1,-0.037478,0.015524,0.000000,99452.585286,-396353.723958,-28540.896484,82411.359375,-41308.110148,-8693.401449,645413.625000
33,1,0.138133,-0.116180,0.000000,-7893.032959,-172538.429199,37084.887268,-327830.492188,-38015.452393,19634.171143,634307.375000
34,1,0.138133,-0.116180,0.134537,3234.981104,-166550.396875,41095.253516,-324592.118750,33722.747070,-13740.172754,577088.250000
35,1,0.179827,-0.015524,0.134537,327455.025391,-147187.514160,9926.852295,-108550.999512,35838.012817,-38696.447266,441676.843750
36,1,0.179827,-0.015524,0.000000,263816.579627,-166020.340144,14261.171903,-107345.888221,-24059.768930,38889.345961,306201.250000
37,1,0.037478,-0.015524,0.134537,186791.715332,-402089.382812,-21864.137695,105373.791870,-39183.044189,-27234.130249,635613.125000
38,1,0.037478,-0.015524,0.000000,131651.745768,-464436.167969,-34166.912679,78255.204997,28228.362274,11966.997213,622236.937500
